genre,movies,avg_rating,avg_runtime,median_votes
Drama,145157,6.18,98.39,110.0
Comedy,77066,5.87,95.1,145.0
Documentary,52212,7.18,81.83,30.0
Romance,34624,6.07,100.48,174.0
Action,31788,5.7,102.76,190.0
Crime,28333,5.96,97.13,218.0
Thriller,27356,5.54,97.59,234.0
Horror,24908,4.92,89.45,223.5
Adventure,19449,5.86,94.4,171.0
Mystery,13060,5.78,95.64,289.5
Family,12231,6.13,94.4,116.0
Biography,10549,6.92,96.01,115.0
Fantasy,9928,5.8,95.03,189.0
History,9291,6.77,99.91,103.0
Music,8759,6.78,91.56,80.0
Sci-Fi,7668,5.26,91.87,287.0
Unknown,6706,6.13,95.67,16.0
Musical,6429,6.14,101.81,74.0
War,6426,6.37,97.44,112.0
Animation,5971,6.29,84.47,171.0
Western,4985,5.8,79.24,102.0
Sport,4171,6.63,94.0,133.0
Adult,4027,5.55,77.05,30.0
Film-Noir,875,6.46,81.86,1103.0
News,671,7.21,79.03,30.0
