tconst,primaryTitle,startYear,genres,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,Drama,9.3,3201987
tt0468569,The Dark Knight,2008,"Crime,Thriller",9.1,3182754
tt1375666,Inception,2010,"Adventure,Sci-Fi,Thriller",8.8,2829291
tt0137523,Fight Club,1999,"Crime,Drama,Thriller",8.8,2623111
tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.7,2550065
tt0109830,Forrest Gump,1994,"Drama,Romance",8.8,2506132
tt0110912,Pulp Fiction,1994,"Crime,Drama",8.8,2444146
tt0133093,The Matrix,1999,"Action,Sci-Fi",8.7,2256403
tt0068646,The Godfather,1972,"Crime,Drama",9.2,2233836
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.9,2214299
tt0167260,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",9.0,2171991
tt0114369,Seven,1995,"Crime,Drama,Mystery",8.6,2031347
tt1345836,The Dark Knight Rises,2012,"Crime,Thriller",8.4,2002893
tt0167261,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.8,1963991
tt1853728,Django Unchained,2012,"Drama,Western",8.5,1891752
tt0172495,Gladiator,2000,"Action,Adventure,Drama",8.5,1857588
tt0993846,The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,1799117
tt0361748,Inglourious Basterds,2009,"Drama,War",8.4,1793948
tt0102926,The Silence of the Lambs,1991,"Crime,Drama,Horror",8.6,1730136
tt0372784,Batman Begins,2005,Crime,8.2,1722010
