tconst,primaryTitle,startYear,genres,averageRating,numVotes
tt39228392,Vinara O Vema,2026,Drama,9.7,1152
tt39444605,One/4,2026,Unknown,9.7,1037
tt38748101,Moda Kavida Vaatavarana,2026,"Drama,Romance,Sci-Fi",9.7,1011
tt34424694,Dama Dum Mast Kalandar,2026,"Comedy,Drama",9.6,3503
tt34464200,Laggam Time,2026,Unknown,9.6,1081
tt42111190,Oye Bhole Oye 2,2026,"Comedy,Drama",9.5,1398
tt41850358,Zakhma Toh Chardikala Tak,2026,Drama,9.5,1179
tt42205019,Sandigdham,2026,Action,9.5,1057
tt37937823,Vidhrohi,2025,"Crime,Thriller",9.4,2097
tt32029878,Golden Opulence: 500 Years of Luxury in Anatolia,2024,Documentary,9.4,1777
tt42362291,Jeena Dil Se,2026,Drama,9.4,1566
tt40572470,Deewana,2026,"Comedy,Drama,Romance",9.4,1037
tt43220337,Maddane,2026,"Action,Crime,Thriller",9.4,1030
tt38890924,Battle,2026,"Drama,Romance",9.4,1023
tt42191325,Psychic,2026,"Crime,Mystery",9.4,1017
tt43437351,Nizhal,2026,"Crime,Drama,Thriller",9.4,1002
tt0111161,The Shawshank Redemption,1994,Drama,9.3,3201987
tt35022209,Mission C1000,2026,Action,9.3,5784
tt0989831,Jibon Theke Neya,1970,"Drama,Family",9.3,2367
tt29764940,Janam,2023,Drama,9.3,2183
